,date,team,player,action,notes
0,2015-10-28,Celtics,James Young,relinquished,placed on IL
1,2015-10-28,Celtics,R.J. Hunter,relinquished,placed on IL will illness
2,2015-10-28,Clippers,Branden Dawson,relinquished,placed on IL
3,2015-10-28,Clippers,C.J. Wilcox,relinquished,placed on IL
4,2015-10-28,Grizzlies,Jarell Martin,relinquished,placed on IL recovering from surgery on left foot to repair fracture
5,2015-10-28,Grizzlies,Jarnell Stokes,relinquished,placed on IL
6,2015-10-28,Heat,Amare Stoudemire / Amar'e Stoudemire,relinquished,placed on IL with rehab of knee
7,2015-10-28,Heat,Josh Richardson,relinquished,placed on IL
8,2015-10-28,Hornets,Jeremy Lamb,relinquished,sprained right ankle (DTD)
9,2015-10-28,Hornets,Michael Kidd-Gilchrist,relinquished,placed on IL recovering from surgery on right shoulder to repair torn labrum
10,2015-10-28,Hornets,Troy Daniels,relinquished,placed on IL with strained left hamstring
11,2015-10-28,Jazz,Dante Exum,relinquished,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
12,2015-10-28,Jazz,Jeff Withey,relinquished,placed on IL
13,2015-10-28,Kings,Duje Dukan,relinquished,placed on IL
14,2015-10-28,Kings,Eric Moreland,relinquished,placed on IL
15,2015-10-28,Knicks,Louis Amundson / Lou Amundson,relinquished,placed on IL with sore lower back
16,2015-10-28,Lakers,Larry Nance Jr.,relinquished,placed on IL with tendinitis in right knee
17,2015-10-28,Lakers,Metta World Peace / Ron Artest,relinquished,placed on IL
18,2015-10-28,Magic,Roy Devyn Marble / Roy Marble (Devyn),relinquished,placed on IL
19,2015-10-28,Mavericks,Chandler Parsons,relinquished,placed on IL with recovering from arthroscopic surgery on right knee to repair cartilage damage
20,2015-10-28,Mavericks,JaVale McGee,relinquished,placed on IL with stress fracture in tibia in left leg
21,2015-10-28,Nets,Thomas Robinson,acquired,returned to lineup
22,2015-10-28,Nuggets,Wilson Chandler,relinquished,placed on IL with strained right hip (out for season)
23,2015-10-28,Pacers,Glenn Robinson III,relinquished,placed on IL with sore right shoulder
24,2015-10-28,Pacers,Myles Turner,relinquished,sore right ankle (DTD)
25,2015-10-28,Pacers,Rakeem Christmas,relinquished,placed on IL
26,2015-10-28,Pelicans,Jrue Holiday,acquired,returned to lineup
27,2015-10-28,Pistons,Darrun Hilliard,relinquished,placed on IL
28,2015-10-28,Pistons,Anthony Tolliver,acquired,activated from IL
29,2015-10-28,Raptors,Bruno Caboclo,relinquished,placed on IL
30,2015-10-28,Raptors,Lucas Nogueira,relinquished,placed on IL
31,2015-10-28,Rockets,Donatas Motiejunas,relinquished,placed on IL with sore lower back
32,2015-10-28,Spurs,Boban Marjanovic,relinquished,placed on IL
33,2015-10-28,Spurs,Jonathon Simmons,relinquished,placed on IL
34,2015-10-28,Suns,Cory Jefferson,relinquished,placed on IL
35,2015-10-28,Thunder,Josh Huestis,relinquished,placed on IL
36,2015-10-28,Thunder,Steve Novak,relinquished,placed on IL
37,2015-10-28,Timberwolves,Nikola Pekovic,relinquished,placed on IL recovering from surgery on right Achilles
38,2015-10-28,Timberwolves,Tyus Jones,relinquished,placed on IL
39,2015-10-28,Warriors,Andrew Bogut,relinquished,concussion (DTD)
40,2015-10-28,Wizards,Alan Anderson,relinquished,placed on IL recovering from surgery on left ankle to remove bone fragment
41,2015-10-28,Wizards,Martell Webster,relinquished,placed on IL with sore right hip (out for season)
42,2015-10-29,Clippers,Austin Rivers,relinquished,"fined $25,000 by NBA for throwing seat cushion into stands during game"
43,2015-10-29,Hawks,Mike Muscala,relinquished,placed on IL with ankle injury
44,2015-10-29,Hawks,Thabo Sefolosha,relinquished,placed on IL with ankle injury
45,2015-10-29,Hawks,Tim Hardaway Jr.,acquired,activated from IL
46,2015-10-29,Hawks,Walter Tavares / Edy Tavares,acquired,activated from IL
47,2015-10-29,Mavericks,Deron Williams,relinquished,sprained left knee (DTD)
48,2015-10-29,Mavericks,Wesley Matthews / Wes Matthews Jr.,relinquished,rest (DTD)
49,2015-10-29,Pacers,Paul George,relinquished,"fined $10,000 by NBA for criticizing referees following game"
50,2015-10-29,Pacers,Glenn Robinson III,acquired,activated from IL
51,2015-10-29,Pacers,Myles Turner,acquired,returned to lineup
52,2015-10-29,Pistons,Jodie Meeks,relinquished,fractured right foot (out indefinitely)
53,2015-10-30,76ers,Nik Stauskas,acquired,returned to lineup
54,2015-10-30,Bucks,John Henson,relinquished,sore left Achilles (DTD)
55,2015-10-30,Bucks,Giannis Antetokounmpo,acquired,reinstated from suspension
56,2015-10-30,Bulls,Cameron Bairstow,relinquished,placed on IL
57,2015-10-30,Bulls,Cristiano Felicio,acquired,activated from IL
58,2015-10-30,Celtics,Jordan Mickey,relinquished,placed on IL
59,2015-10-30,Celtics,Kelly Olynyk,acquired,reinstated from suspension
60,2015-10-30,Celtics,R.J. Hunter,acquired,activated from IL
61,2015-10-30,Hawks,Kyle Korver,relinquished,placed on IL
62,2015-10-30,Hawks,Thabo Sefolosha,acquired,activated from IL
63,2015-10-30,Heat,Chris Andersen,relinquished,placed on IL
64,2015-10-30,Heat,Amare Stoudemire / Amar'e Stoudemire,acquired,activated from IL
65,2015-10-30,Hornets,Jeremy Lamb,acquired,returned to lineup
66,2015-10-30,Jazz,Trevor Booker,acquired,reinstated from suspension
67,2015-10-30,Kings,Quincy Acy,relinquished,placed on IL
68,2015-10-30,Kings,Eric Moreland,acquired,activated from IL
69,2015-10-30,Nets,Chris McCullough,relinquished,placed on IL with knee injury
70,2015-10-30,Nets,Willie Reed,relinquished,placed on IL recovering from surgery on right thumb to repair torn ligament
71,2015-10-30,Nets,Jarrett Jack,acquired,returned to lineup
72,2015-10-30,Nuggets,Jusuf Nurkic,relinquished,placed on IL with bruised knee
73,2015-10-30,Pistons,Darrun Hilliard,acquired,activated from IL
74,2015-10-30,Rockets,Dwight Howard,acquired,reinstated from suspension
75,2015-10-30,Thunder,Cameron Payne,relinquished,placed on IL
76,2015-10-30,Thunder,Steve Novak,acquired,activated from IL
77,2015-10-30,Warriors,Andrew Bogut,relinquished,placed on IL with concussion
78,2015-10-30,Warriors,Ian Clark,acquired,activated from IL
79,2015-10-30,Pistons,Jodie Meeks,relinquished,surgery on right foot to repair fracture (date approximate)
80,2015-10-30,Pistons,Jodie Meeks,relinquished,placed on IL with fractured right foot
81,2015-10-31,Jazz,Tibor Pleiss,relinquished,placed on IL
82,2015-10-31,Jazz,Jeff Withey,acquired,activated from IL
83,2015-10-31,Kings,Eric Moreland,relinquished,placed on IL
84,2015-10-31,Kings,Quincy Acy,acquired,activated from IL
85,2015-10-31,Pacers,Glenn Robinson III,relinquished,shoulder injury (DTD)
86,2015-10-31,Pelicans,Luke Babbitt,acquired,returned to lineup
87,2015-10-31,Pelicans,Omer Asik,acquired,returned to lineup
88,2015-11-01,Bulls,Kirk Hinrich,relinquished,placed on IL with sore toe
89,2015-11-01,Bulls,Cameron Bairstow,acquired,activated from IL
90,2015-11-01,Hawks,Tim Hardaway Jr.,relinquished,placed on IL
91,2015-11-01,Hawks,Walter Tavares / Edy Tavares,relinquished,placed on IL
92,2015-11-01,Hawks,Kyle Korver,acquired,activated from IL
93,2015-11-01,Hawks,Mike Muscala,acquired,activated from IL
94,2015-11-01,Hornets,Aaron Harrison,relinquished,placed on IL
95,2015-11-01,Hornets,Troy Daniels,acquired,activated from IL
96,2015-11-01,Lakers,Robert Sacre,relinquished,placed on IL
97,2015-11-01,Lakers,Metta World Peace / Ron Artest,acquired,activated from IL
98,2015-11-01,Mavericks,Justin Anderson,relinquished,placed on IL
99,2015-11-01,Mavericks,Chandler Parsons,acquired,activated from IL
100,2015-11-01,Mavericks,Deron Williams,acquired,returned to lineup
101,2015-11-01,Mavericks,Wesley Matthews / Wes Matthews Jr.,acquired,returned to lineup
102,2015-11-01,Pelicans,Kendrick Perkins,relinquished,strained right pectoral muscle (DTD)
103,2015-11-01,Rockets,Dwight Howard,relinquished,rest (DTD)
104,2015-11-01,Rockets,Terrence Jones,relinquished,placed on IL with facial (eyelid) injury
105,2015-11-01,Thunder,Steve Novak,relinquished,placed on IL
106,2015-11-01,Thunder,Cameron Payne,acquired,activated from IL
107,2015-11-02,76ers,Robert Covington,acquired,returned to lineup
108,2015-11-02,Cavaliers,Sasha Kaun,relinquished,personal reasons (DTD)
109,2015-11-02,Knicks,Kevin Seraphin,acquired,returned to lineup
110,2015-11-02,Rockets,Chuck Hayes,relinquished,foot injury (DTD)
111,2015-11-02,Rockets,Dwight Howard,acquired,returned to lineup
112,2015-11-02,Spurs,Matt Bonner,relinquished,placed on IL
113,2015-11-02,Spurs,Boban Marjanovic,acquired,activated from IL
114,2015-11-02,Suns,Devin Booker,relinquished,placed on IL with ankle injury
115,2015-11-02,Suns,Cory Jefferson,acquired,activated from IL
116,2015-11-03,76ers,Robert Covington,relinquished,sprained MCL in right knee (DTD)
117,2015-11-03,Cavaliers,J.R. Smith,relinquished,bruised right knee (DTD)
118,2015-11-03,Hawks,Mike Muscala,relinquished,sore right ankle (DTD)
119,2015-11-03,Hawks,Thabo Sefolosha,relinquished,placed on IL with ankle injury
120,2015-11-03,Hawks,Tim Hardaway Jr.,acquired,activated from IL
